epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,7415.23,1.88941,3.82069,0.3509,1.72421,0.00974,5.93198,0.64971,0.48166,0.52204,0.24419,0.62066,0.44513,0.44741,0.26321,1.98044,4.02202,0.30721,1.80252,0.01031,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7595.71,1.87823,3.78378,0.35256,1.72809,0.00978,5.89504,0.64323,0.49083,0.52268,0.24325,0.60718,0.4476,0.44884,0.26472,1.94977,3.98944,0.30536,1.81409,0.00998,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7775.64,1.87085,3.71946,0.34625,1.7146,0.00962,5.81529,0.62666,0.4867,0.52054,0.2451,0.61637,0.4393,0.44843,0.26633,1.95902,3.94106,0.30593,1.80915,0.01019,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7955.6,1.85452,3.67951,0.3475,1.687,0.00964,5.75014,0.61962,0.49563,0.52889,0.24706,0.58808,0.46026,0.45068,0.2653,1.97502,3.95186,0.30733,1.78298,0.01015,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8135.52,1.87911,3.69605,0.34689,1.68405,0.00964,5.66605,0.64708,0.50218,0.54266,0.25416,0.61046,0.45234,0.45698,0.27089,1.97091,3.92065,0.30583,1.75824,0.01018,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8315.6,1.86702,3.62194,0.34481,1.65348,0.00955,5.54694,0.63051,0.5083,0.53863,0.25367,0.61573,0.45764,0.4623,0.27529,1.95626,3.82822,0.30618,1.7578,0.01008,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8495.82,1.86018,3.62158,0.34267,1.65553,0.00954,5.58857,0.62745,0.51092,0.53905,0.25612,0.6086,0.46201,0.46413,0.28137,1.96084,3.8729,0.30581,1.73366,0.01007,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8676.07,1.86365,3.60571,0.34264,1.63511,0.00963,5.56631,0.65882,0.50218,0.54234,0.25607,0.61686,0.45808,0.4647,0.28061,1.95197,3.86755,0.30527,1.74026,0.01002,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8855.98,1.85629,3.56735,0.34339,1.61941,0.00941,5.46218,0.6365,0.5131,0.54567,0.26063,0.62811,0.47773,0.48222,0.29044,1.93442,3.76821,0.30528,1.73413,0.00998,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9036,1.85553,3.52973,0.33977,1.63498,0.00948,5.40509,0.64619,0.51601,0.54677,0.25995,0.64255,0.46785,0.47843,0.28979,1.94773,3.80691,0.30589,1.72807,0.00994,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9216.03,1.8461,3.52505,0.34342,1.63687,0.00943,5.41487,0.62939,0.51354,0.54595,0.26153,0.62761,0.47027,0.48041,0.29236,1.93361,3.79381,0.30396,1.73911,0.00992,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9396,1.83546,3.48456,0.33973,1.59621,0.00943,5.35671,0.64647,0.50262,0.54734,0.25935,0.6293,0.46703,0.48146,0.29372,1.94364,3.74666,0.30475,1.71712,0.00986,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9576.03,1.83108,3.44816,0.34362,1.61694,0.00932,5.32687,0.61147,0.51965,0.54063,0.25902,0.61318,0.47817,0.4788,0.29182,1.92635,3.76789,0.30475,1.72249,0.00972,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9755.97,1.83609,3.45921,0.34152,1.58748,0.0095,5.35283,0.64023,0.51659,0.54811,0.2621,0.63202,0.47702,0.48798,0.29778,1.9444,3.76411,0.30325,1.70573,0.00974,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9935.82,1.8178,3.31982,0.34066,1.57144,0.00927,5.09753,0.64862,0.50873,0.54878,0.26329,0.64077,0.47359,0.49078,0.29753,1.92309,3.68974,0.30378,1.73129,0.00967,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10116.1,1.81663,3.33918,0.34392,1.58164,0.00931,5.04567,0.64328,0.52009,0.5508,0.26581,0.614,0.48996,0.48904,0.30049,1.92573,3.68731,0.30342,1.72056,0.00975,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10296.2,1.82697,3.34577,0.33902,1.55092,0.00936,5.09847,0.66603,0.52513,0.56335,0.26885,0.64019,0.48716,0.49809,0.30741,1.91999,3.64887,0.30192,1.71779,0.00972,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10476.1,1.81764,3.28176,0.33521,1.54051,0.00924,4.99663,0.65337,0.51939,0.56347,0.27036,0.63345,0.48559,0.50011,0.30896,1.93425,3.64075,0.30273,1.7001,0.00977,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10656.2,1.80819,3.3023,0.33756,1.56684,0.00921,5.02543,0.66736,0.51778,0.56458,0.27005,0.64142,0.49301,0.50556,0.31125,1.92937,3.62107,0.30061,1.69648,0.00978,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10835.8,1.81064,3.23113,0.33916,1.54479,0.00921,4.89315,0.67578,0.52052,0.57085,0.27271,0.6579,0.48791,0.50872,0.31494,1.92996,3.59372,0.30105,1.67707,0.00979,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,11015.5,1.80249,3.18685,0.33362,1.53032,0.00908,4.83661,0.67384,0.52778,0.57252,0.27576,0.65419,0.49651,0.51774,0.32258,1.92094,3.57114,0.29966,1.66192,0.0097,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11195.2,1.78027,3.12365,0.33283,1.52501,0.00905,4.81655,0.65593,0.53188,0.5677,0.27422,0.63479,0.50475,0.51121,0.31836,1.91976,3.56855,0.29788,1.66423,0.00967,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11375.1,1.78936,3.16414,0.33503,1.54181,0.00902,4.85488,0.66707,0.52759,0.57054,0.275,0.64046,0.4955,0.50444,0.31317,1.91499,3.5754,0.29971,1.66174,0.00964,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11554.8,1.79374,3.12521,0.33723,1.50771,0.00911,4.71703,0.6725,0.5262,0.56885,0.27358,0.65931,0.49127,0.51247,0.31926,1.91172,3.51313,0.30047,1.66377,0.00964,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11734.9,1.7896,3.11257,0.33447,1.50136,0.00894,4.72099,0.66797,0.53764,0.57049,0.27674,0.66181,0.49782,0.51966,0.32339,1.90955,3.50695,0.29972,1.65929,0.00969,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
