epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,19706.8,1.94093,4.17647,0.34893,1.81887,0.01003,6.30313,0.60549,0.45909,0.48879,0.22252,0.57109,0.40131,0.39192,0.22566,2.01067,4.31222,0.30367,1.83969,0.0104,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,20082,1.93951,4.15892,0.35416,1.82831,0.01004,6.35305,0.61051,0.45764,0.4891,0.22212,0.57521,0.41048,0.40047,0.22855,1.98365,4.29877,0.30182,1.84146,0.0104,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,20461.8,1.93189,4.08977,0.35362,1.81505,0.00994,6.22375,0.63121,0.45153,0.48754,0.22502,0.58871,0.4083,0.39755,0.22734,2.01192,4.29064,0.30232,1.82608,0.01039,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,20838.3,1.93162,4.08032,0.3533,1.78472,0.01,6.18626,0.61535,0.46735,0.49684,0.22715,0.55986,0.40262,0.38676,0.22631,2.01326,4.34619,0.30375,1.80442,0.01041,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,21228.3,1.9298,4.05061,0.35337,1.78155,0.00992,6.15777,0.60764,0.45808,0.49694,0.22903,0.57829,0.40175,0.4008,0.23368,2.02149,4.24052,0.30318,1.80159,0.01047,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,21618.6,1.93376,4.02835,0.35273,1.78054,0.00988,6.11192,0.61569,0.46725,0.49693,0.22941,0.55467,0.41826,0.39981,0.22865,1.98826,4.28792,0.30347,1.8233,0.01036,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,21995.4,1.92755,3.99691,0.34764,1.76499,0.0099,6.03896,0.61664,0.46499,0.50242,0.23057,0.57887,0.41878,0.41758,0.24304,2.00417,4.21197,0.30192,1.80688,0.01035,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,22394.1,1.92468,3.96262,0.34782,1.7451,0.00993,6.06898,0.62846,0.46812,0.50978,0.23439,0.59777,0.40873,0.41864,0.24375,1.99768,4.1996,0.30356,1.79311,0.01037,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,22787.5,1.91694,3.93733,0.35186,1.75002,0.0099,6.00719,0.62259,0.47948,0.51359,0.23495,0.59612,0.40873,0.41684,0.24388,1.99491,4.22152,0.30322,1.78004,0.01033,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,23182.9,1.92916,3.93163,0.34831,1.74248,0.00976,5.91689,0.61234,0.47817,0.51489,0.23806,0.57374,0.42183,0.42045,0.24472,1.98981,4.17933,0.30339,1.758,0.01031,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,23564.8,1.92365,3.89863,0.34483,1.73074,0.00983,5.88432,0.62138,0.4786,0.51443,0.23845,0.59116,0.42314,0.4247,0.25056,1.99153,4.14427,0.30198,1.74904,0.01029,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,23953.4,1.91515,3.84894,0.34639,1.72443,0.00983,5.83794,0.63413,0.48122,0.51409,0.23845,0.60415,0.43231,0.43318,0.25551,1.97492,4.09367,0.30029,1.78101,0.01007,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,24333.7,1.90648,3.82889,0.3472,1.72596,0.00982,5.77985,0.61058,0.46725,0.50444,0.2378,0.57421,0.41616,0.42114,0.25298,1.98462,4.09888,0.30185,1.77203,0.01015,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,24711.8,1.90794,3.75887,0.34149,1.68506,0.00951,5.61386,0.59254,0.48454,0.51004,0.23524,0.57113,0.44138,0.43301,0.25666,2.00478,4.10816,0.30234,1.75277,0.01026,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,25089.7,1.89175,3.75755,0.34625,1.68956,0.00965,5.57348,0.61142,0.47555,0.513,0.24164,0.59368,0.43406,0.43413,0.25782,1.98041,4.03639,0.30326,1.74984,0.01006,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,25469.6,1.89351,3.74645,0.34469,1.69631,0.00956,5.60994,0.62331,0.48035,0.51375,0.24106,0.59101,0.43144,0.43324,0.25773,1.96314,4.05468,0.3012,1.77149,0.01004,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,25863.4,1.89655,3.7261,0.34351,1.69463,0.00971,5.58118,0.63093,0.46376,0.5134,0.24066,0.59795,0.43144,0.43511,0.26134,1.98415,4.04539,0.3026,1.74798,0.01009,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,26258.9,1.87202,3.67418,0.34223,1.6915,0.00962,5.53562,0.62443,0.48064,0.5196,0.24349,0.58987,0.44454,0.43911,0.26141,1.97392,4.01047,0.30375,1.74184,0.01004,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,26637.4,1.87669,3.64292,0.34425,1.67617,0.00946,5.37451,0.63486,0.47293,0.51707,0.24244,0.61231,0.44672,0.44773,0.26698,1.98134,3.97709,0.30274,1.74904,0.01009,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,27006.8,1.87863,3.63896,0.33864,1.66173,0.00957,5.45838,0.63947,0.47246,0.51545,0.24022,0.61121,0.44454,0.44985,0.26728,1.9813,3.93177,0.30274,1.73884,0.0102,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,27391.6,1.87611,3.62982,0.34136,1.66241,0.00948,5.46076,0.59489,0.48414,0.50795,0.23857,0.60075,0.44105,0.44858,0.26641,1.97994,3.92004,0.30154,1.75116,0.01017,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,27762.4,1.88264,3.5924,0.3404,1.63133,0.00944,5.2866,0.62377,0.48074,0.51952,0.24372,0.61546,0.4345,0.45247,0.27162,1.9688,3.90869,0.30207,1.74253,0.01008,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,28148.9,1.87509,3.60131,0.3407,1.63106,0.0095,5.34204,0.64232,0.48428,0.52844,0.24916,0.63803,0.43489,0.45675,0.27372,1.95279,3.89775,0.30276,1.72206,0.00996,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,28528.3,1.85871,3.54157,0.3425,1.65563,0.00937,5.24847,0.63808,0.49258,0.532,0.25173,0.60891,0.44534,0.45389,0.2738,1.94179,3.8808,0.30173,1.72833,0.00994,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,28913.4,1.85863,3.51204,0.33993,1.62299,0.00933,5.27101,0.62364,0.50087,0.53291,0.2509,0.61619,0.45284,0.45734,0.27364,1.94089,3.85796,0.30146,1.73165,0.00994,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,29295.8,1.86733,3.47599,0.33801,1.59872,0.00931,5.14128,0.62124,0.49825,0.52994,0.25007,0.6031,0.45459,0.45618,0.27383,1.94378,3.87284,0.30212,1.73052,0.00993,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,29668.9,1.84458,3.45372,0.33777,1.62639,0.00939,5.12887,0.62271,0.49563,0.53111,0.25041,0.61817,0.45109,0.4564,0.27205,1.94231,3.88813,0.30294,1.73336,0.00992,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,30029.6,1.85137,3.38411,0.34016,1.59978,0.00922,4.9917,0.63222,0.4952,0.53615,0.25284,0.61514,0.45546,0.46485,0.27813,1.94549,3.86423,0.30213,1.7169,0.00991,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,30406.8,1.83528,3.38612,0.33922,1.58659,0.00921,5.01364,0.62762,0.49214,0.53507,0.25187,0.61066,0.45677,0.46425,0.27757,1.94534,3.83449,0.3019,1.71927,0.00989,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,30775.6,1.8306,3.37665,0.3384,1.58233,0.00919,4.98478,0.64071,0.49432,0.53739,0.25553,0.61499,0.45328,0.46876,0.28269,1.93626,3.82683,0.3005,1.71211,0.00989,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,31149.1,1.84513,3.35088,0.33651,1.578,0.00919,4.89944,0.64611,0.50218,0.53904,0.25771,0.631,0.45983,0.47582,0.28654,1.93949,3.80112,0.29994,1.7046,0.0099,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,31522.7,1.83618,3.33748,0.33541,1.56784,0.00919,4.90506,0.63238,0.50554,0.53952,0.25734,0.6101,0.469,0.47588,0.28551,1.94706,3.79628,0.30102,1.69193,0.00994,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,31902.7,1.84346,3.29009,0.33324,1.56843,0.00917,4.85284,0.63665,0.5083,0.54418,0.25832,0.61675,0.46376,0.47532,0.28614,1.94327,3.80153,0.30054,1.69486,0.00991,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,32279.7,1.82597,3.25074,0.33411,1.54736,0.0092,4.78178,0.63488,0.50646,0.548,0.26009,0.61263,0.46681,0.48094,0.29048,1.94606,3.78448,0.29899,1.68045,0.00993,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,32673.7,1.82387,3.26825,0.33484,1.55527,0.00893,4.80552,0.63508,0.51397,0.55033,0.26148,0.62652,0.4615,0.48064,0.29013,1.94059,3.77933,0.29932,1.68343,0.0099,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,33061,1.8138,3.25832,0.33126,1.54148,0.00898,4.79648,0.63949,0.51744,0.54995,0.26143,0.63455,0.46638,0.4824,0.29146,1.94566,3.76236,0.29904,1.6731,0.0099,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,33453.1,1.81105,3.20505,0.33233,1.51883,0.00898,4.70231,0.63803,0.51528,0.54902,0.26177,0.62273,0.46924,0.48367,0.29361,1.94246,3.76446,0.2999,1.67735,0.00991,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,33846.7,1.82155,3.18064,0.33232,1.53327,0.00906,4.61176,0.6447,0.50873,0.54951,0.26149,0.62421,0.46681,0.48419,0.29416,1.95075,3.76336,0.29995,1.67115,0.00994,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,34237.4,1.81296,3.17931,0.33021,1.52982,0.009,4.62047,0.64207,0.51223,0.55324,0.26226,0.63078,0.46288,0.48728,0.29466,1.94556,3.73436,0.30054,1.67568,0.00995,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,34616.2,1.81367,3.16413,0.33432,1.52164,0.00901,4.57588,0.64241,0.51305,0.55384,0.26281,0.63594,0.46594,0.48646,0.29603,1.94559,3.7308,0.30006,1.67405,0.00995,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,35033.9,1.80875,3.08568,0.32868,1.47833,0.00892,4.43434,0.66014,0.51048,0.55861,0.26548,0.63345,0.47393,0.48949,0.2979,1.95292,3.72401,0.29934,1.66172,0.00998,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,36219.6,1.80438,3.0864,0.32591,1.49163,0.00891,4.42624,0.66708,0.50393,0.55921,0.26541,0.64467,0.46638,0.49272,0.30015,1.95123,3.70247,0.29904,1.662,0.00999,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,37861.8,1.80098,3.07457,0.32738,1.49727,0.00874,4.42326,0.66612,0.50699,0.56216,0.26687,0.65259,0.46725,0.4955,0.30191,1.95013,3.6936,0.29936,1.65599,0.00998,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,38938.7,1.809,3.0874,0.33263,1.48381,0.00886,4.49616,0.65885,0.50873,0.56158,0.26746,0.65116,0.46594,0.49539,0.30298,1.95254,3.69683,0.29956,1.65305,0.00995,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,40731.2,1.79176,3.04403,0.329,1.47072,0.00875,4.34913,0.65645,0.50917,0.56202,0.26713,0.64925,0.4655,0.49466,0.30213,1.95775,3.69038,0.29996,1.64508,0.01,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,42447.2,1.78483,3.01882,0.3301,1.47109,0.00882,4.3983,0.65582,0.5084,0.56202,0.26712,0.64814,0.46594,0.49493,0.30221,1.95539,3.6833,0.29948,1.64743,0.00996,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,43553.1,1.78466,2.98752,0.328,1.45089,0.00874,4.33392,0.66146,0.51364,0.5646,0.26837,0.6471,0.46681,0.49506,0.30423,1.95134,3.6923,0.30016,1.64877,0.00995,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,44703.7,1.79111,2.99814,0.32812,1.45311,0.00877,4.29299,0.66264,0.51397,0.5638,0.2689,0.64532,0.46638,0.49547,0.30421,1.95255,3.68744,0.3,1.6435,0.00996,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,46049.5,1.77128,2.95589,0.32659,1.46038,0.00874,4.17624,0.66409,0.51179,0.56498,0.26849,0.6503,0.46856,0.49471,0.30431,1.94402,3.68961,0.29932,1.65264,0.00992,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,47352.2,1.78171,2.94098,0.33021,1.45758,0.00875,4.12312,0.6636,0.50997,0.56371,0.26835,0.64933,0.46899,0.49397,0.30355,1.94731,3.68515,0.29984,1.64519,0.00989,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,48536.4,1.76308,2.90764,0.32457,1.44672,0.00861,4.0602,0.65875,0.51397,0.56424,0.26822,0.64222,0.47074,0.49322,0.30321,1.94281,3.68039,0.29977,1.64676,0.00989,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,49831.5,1.69795,2.50896,0.25962,1.22616,0.00961,4.09626,0.65956,0.51616,0.56533,0.2683,0.63546,0.47598,0.49277,0.3037,1.94132,3.6738,0.29972,1.64866,0.00988,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,51053.4,1.69979,2.48483,0.26001,1.20202,0.00952,4.01607,0.66386,0.51965,0.56489,0.26827,0.63669,0.47523,0.49287,0.30284,1.94095,3.6774,0.29982,1.64705,0.00989,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
